104,786,C2
56,777,C1
251,753,C3
345,718,C4
310,708,C4
293,696,C4
219,687,C3
150,681,C2
169,680,C2
360,675,C4
30,661,C1
37,661,C1
49,656,C1
230,656,C3
243,655,C3
254,652,C3
233,650,C3
223,647,C3
211,644,C3
332,644,C4
64,643,C1
240,643,C3
132,642,C2
252,639,C3
213,638,C3
268,636,C3
53,635,C1
95,634,C1
216,629,C3
16,628,C1
258,627,C3
269,627,C3
308,627,C4
3,626,C1
303,626,C4
102,625,C2
29,624,C1
85,622,C1
101,621,C2
120,620,C2
244,619,C3
190,617,C3
23,614,C1
148,613,C2
126,612,C2
341,611,C4
100,610,C2
106,609,C2
209,609,C3
307,609,C4
361,609,C4
351,607,C4
322,605,C4
355,605,C4
118,604,C2
279,604,C4
10,603,C1
124,603,C2
265,602,C3
272,601,C3
67,599,C1
130,598,C2
173,598,C2
299,598,C4
236,597,C3
57,595,C1
61,595,C1
278,595,C4
296,595,C4
63,594,C1
267,594,C3
319,594,C4
26,593,C1
188,592,C3
36,591,C1
202,591,C3
369,588,C4
339,587,C4
59,584,C1
348,584,C4
241,583,C3
60,582,C1
83,582,C1
170,581,C2
168,580,C2
79,578,C1
145,576,C2
277,575,C3
246,574,C3
289,574,C4
294,573,C4
320,572,C4
146,569,C2
371,569,C4
288,568,C4
111,567,C2
72,563,C1
364,562,C4
8,561,C1
270,560,C3
231,557,C3
204,556,C3
108,554,C2
112,554,C2
358,553,C4
128,552,C2
181,552,C2
337,552,C4
34,550,C1
76,550,C1
340,550,C4
80,548,C1
237,548,C3
242,548,C3
24,546,C1
47,546,C1
82,546,C1
87,545,C1
154,544,C2
300,544,C4
19,543,C1
92,542,C1
182,542,C2
255,542,C3
263,542,C3
328,542,C4
18,541,C1
50,540,C1
366,540,C4
15,539,C1
97,539,C1
249,539,C3
89,538,C1
4,537,C1
199,537,C3
228,537,C3
93,536,C1
284,536,C4
318,535,C4
103,532,C2
215,532,C3
260,532,C3
357,532,C4
54,531,C1
191,531,C3
312,530,C4
189,527,C3
315,527,C4
69,526,C1
84,526,C1
232,526,C3
207,525,C3
1,524,C1
122,524,C2
125,524,C2
131,524,C2
171,524,C2
257,524,C3
370,523,C4
22,522,C1
275,522,C3
373,521,C4
212,520,C3
218,520,C3
25,519,C1
287,518,C4
325,518,C4
143,517,C2
156,516,C2
55,515,C1
86,513,C1
349,513,C4
372,510,C4
28,508,C1
46,508,C1
81,508,C1
113,508,C2
222,508,C3
235,507,C3
297,507,C4
314,506,C4
17,505,C1
39,505,C1
208,505,C3
343,505,C4
195,504,C3
334,504,C4
214,503,C3
167,501,C2
271,500,C3
66,498,C1
116,498,C2
133,498,C2
134,498,C2
193,498,C3
326,498,C4
192,497,C3
78,496,C1
142,496,C2
152,496,C2
153,496,C2
91,495,C1
7,494,C1
52,494,C1
166,494,C2
40,492,C1
198,492,C3
330,491,C4
333,491,C4
329,489,C4
221,488,C3
274,488,C3
290,486,C4
88,485,C1
262,485,C3
342,485,C4
110,484,C2
197,484,C3
71,483,C1
140,483,C2
179,483,C2
14,481,C1
144,481,C2
301,481,C4
336,481,C4
155,480,C2
256,480,C3
280,480,C4
70,479,C1
185,479,C2
245,479,C3
147,476,C2
48,475,C1
160,475,C2
273,475,C3
362,475,C4
31,474,C1
42,474,C1
129,473,C2
41,472,C1
43,471,C1
316,469,C4
121,468,C2
264,467,C3
359,467,C4
9,466,C1
158,466,C2
238,466,C3
327,462,C4
229,461,C3
65,460,C1
259,460,C3
281,460,C4
282,460,C4
178,459,C2
187,458,C2
96,453,C1
321,453,C4
0,452,C1
62,452,C1
226,452,C3
138,451,C2
98,450,C2
347,450,C4
354,449,C4
109,447,C2
159,447,C2
292,447,C4
77,446,C1
172,445,C2
196,445,C3
135,444,C2
141,444,C2
239,443,C3
12,442,C1
21,442,C1
115,442,C2
165,442,C2
205,442,C3
183,441,C2
217,440,C3
174,439,C2
90,438,C1
220,438,C3
180,437,C2
331,437,C4
157,433,C2
201,432,C3
302,432,C4
176,431,C2
203,431,C3
139,430,C2
266,430,C3
352,429,C4
44,428,C1
94,428,C1
261,426,C3
291,424,C4
75,423,C1
324,423,C4
6,422,C1
11,422,C1
51,422,C1
295,422,C4
35,420,C1
32,416,C1
38,414,C1
313,414,C4
163,411,C2
119,410,C2
58,409,C1
286,408,C4
184,407,C2
250,407,C3
33,406,C1
20,402,C1
234,401,C3
27,399,C1
107,398,C2
117,397,C2
175,397,C2
253,395,C3
344,393,C4
335,392,C4
164,391,C2
186,391,C2
247,389,C3
356,389,C4
317,388,C4
45,387,C1
194,387,C3
283,383,C4
298,383,C4
306,383,C4
68,382,C1
346,382,C4
367,381,C4
99,380,C2
136,379,C2
177,379,C2
149,378,C2
210,377,C3
350,377,C4
225,376,C3
323,376,C4
123,375,C2
162,374,C2
206,374,C3
368,374,C4
13,372,C1
2,371,C1
105,368,C2
114,366,C2
224,364,C3
365,357,C4
227,353,C3
304,353,C4
200,351,C3
248,339,C3
127,331,C2
161,331,C2
363,330,C4
285,329,C4
74,320,C1
311,318,C4
73,315,C1
305,300,C4
137,297,C2
353,292,C4
5,270,C1
309,224,C4
276,152,C3
