104,786,C2
56,777,C1
251,753,C3
345,718,C4
394,715,C5
310,708,C4
293,696,C4
219,687,C3
150,681,C2
169,680,C2
443,677,C5
360,675,C4
30,661,C1
37,661,C1
49,656,C1
230,656,C3
401,656,C5
243,655,C3
254,652,C3
434,652,C5
404,651,C5
233,650,C3
223,647,C3
415,646,C5
211,644,C3
332,644,C4
64,643,C1
240,643,C3
132,642,C2
252,639,C3
213,638,C3
268,636,C3
53,635,C1
95,634,C1
464,630,C5
216,629,C3
16,628,C1
470,628,C5
258,627,C3
269,627,C3
308,627,C4
3,626,C1
303,626,C4
102,625,C2
29,624,C1
85,622,C1
440,622,C5
101,621,C2
120,620,C2
244,619,C3
448,619,C5
190,617,C3
467,617,C5
469,616,C5
23,614,C1
148,613,C2
126,612,C2
341,611,C4
425,611,C5
100,610,C2
463,610,C5
106,609,C2
209,609,C3
307,609,C4
361,609,C4
351,607,C4
322,605,C4
355,605,C4
388,605,C5
436,605,C5
118,604,C2
279,604,C4
10,603,C1
124,603,C2
265,602,C3
272,601,C3
67,599,C1
130,598,C2
173,598,C2
299,598,C4
236,597,C3
57,595,C1
61,595,C1
278,595,C4
296,595,C4
410,595,C5
63,594,C1
267,594,C3
319,594,C4
26,593,C1
188,592,C3
412,592,C5
36,591,C1
202,591,C3
403,590,C5
369,588,C4
339,587,C4
59,584,C1
348,584,C4
241,583,C3
60,582,C1
83,582,C1
170,581,C2
168,580,C2
386,579,C5
79,578,C1
145,576,C2
277,575,C3
246,574,C3
289,574,C4
294,573,C4
390,573,C5
320,572,C4
422,572,C5
439,571,C5
385,570,C5
146,569,C2
371,569,C4
288,568,C4
453,568,C5
111,567,C2
413,564,C5
72,563,C1
364,562,C4
8,561,C1
270,560,C3
389,560,C5
397,560,C5
427,559,C5
231,557,C3
204,556,C3
423,555,C5
449,555,C5
108,554,C2
112,554,C2
358,553,C4
380,553,C5
399,553,C5
128,552,C2
181,552,C2
337,552,C4
451,552,C5
34,550,C1
76,550,C1
340,550,C4
461,549,C5
80,548,C1
237,548,C3
242,548,C3
455,548,C5
396,547,C5
24,546,C1
47,546,C1
82,546,C1
87,545,C1
473,545,C5
154,544,C2
300,544,C4
19,543,C1
92,542,C1
182,542,C2
255,542,C3
263,542,C3
328,542,C4
18,541,C1
50,540,C1
