440,44
412,33
400,70
468,31
394,95
451,81
427,53
377,10
406,6
460,5
434,82
439,71
410,96
420,50
449,25
402,33
421,50
471,27
382,56
383,56
456,85
425,57
444,85
455,11
423,83
396,67
416,47
408,31
387,83
463,98
470,54
435,98
473,90
467,94
415,76
386,66
448,46
417,46
403,66
379,73
465,66
432,15
405,33
462,8
375,20
414,79
433,45
445,73
407,29
404,56
395,1
459,24
464,40
443,88
424,84
418,54
450,24
453,62
458,2
457,60
391,23
390,60
384,39
454,45
442,8
393,97
422,96
431,17
398,82
413,100
437,25
374,96
430,68
426,1
385,25
452,66
436,11
392,57
429,10
397,43
376,19
461,45
399,68
438,90
401,43
428,83
469,58
466,38
409,53
381,60
378,35
447,36
389,78
380,61
419,41
446,68
441,60
411,81
388,99
472,54
