176,60
177,54
110,98
123,6
172,41
128,4
164,68
99,7
153,57
133,55
142,9
129,21
135,57
119,69
132,58
184,4
150,2
143,83
151,50
173,94
167,100
127,24
182,3
169,59
134,1
155,99
116,58
149,29
137,12
183,35
118,61
139,13
166,28
109,47
104,40
186,34
154,37
158,36
136,43
124,48
168,89
165,6
101,63
170,89
100,80
147,66
107,16
120,36
156,81
161,17
141,26
174,7
125,36
105,7
140,14
180,46
187,89
126,51
115,58
171,91
98,31
146,7
117,60
148,7
138,40
181,33
175,42
145,75
185,65
131,21
112,27
162,1
111,53
178,32
122,46
179,23
152,78
144,64
163,47
108,6
106,80
113,26
157,98
121,59
160,63
103,62
130,73
159,11
102,68
114,78
