300,95
278,84
373,86
349,66
317,53
283,61
352,5
305,7
285,78
284,4
355,34
308,89
321,78
336,59
291,42
279,22
294,80
361,81
348,48
362,99
327,33
366,50
303,82
309,21
288,22
297,55
332,10
346,3
322,25
328,21
280,32
367,62
314,14
334,6
337,45
329,61
311,14
369,60
323,80
295,31
286,29
351,9
371,12
341,10
368,23
342,82
318,37
324,37
347,36
359,45
343,1
289,81
310,84
333,47
340,80
360,93
331,26
292,1
304,19
356,33
290,77
335,78
306,20
330,84
296,82
298,3
301,14
344,48
339,84
282,37
293,87
312,70
370,56
357,47
307,53
315,43
319,46
281,14
365,26
364,42
363,59
338,29
326,88
316,56
350,95
313,21
354,77
302,9
299,93
320,46
353,45
325,31
372,26
358,53
287,49
345,70
