81,10
11,27
62,79
16,94
3,94
34,36
19,30
75,54
50,12
44,47
29,46
46,88
71,46
67,56
53,99
30,24
32,40
90,3
58,68
23,35
70,31
91,50
41,38
14,73
12,6
36,42
72,96
35,37
96,65
97,44
94,30
47,64
48,72
79,91
17,99
0,7
20,57
73,20
42,50
4,10
54,64
5,92
68,10
52,34
82,81
10,93
93,81
66,61
38,42
39,17
80,72
76,36
65,74
89,96
37,82
55,43
21,14
51,28
83,23
69,81
78,32
49,13
87,70
85,42
57,7
86,82
1,55
33,56
27,62
56,81
95,74
64,6
26,51
92,58
63,22
24,86
9,27
2,50
28,83
40,17
74,5
22,78
61,56
8,62
84,74
31,27
59,40
13,68
43,30
88,95
6,82
18,82
7,1
15,37
77,6
60,84
45,63
25,12
